word,field,proposed_value,confidenceNote
plateau,rareSpelling,false,"rareSpelling: French -eau = /oh/ at end; learnable as a pattern (plateau, bureau, chateau) but unusual at primary level"
sovereign,rareSpelling,false,rareSpelling: sovereign = /SOV-rin/ — the g is silent and the ei = /i/ pattern is unusual; borderline rareSpelling
renaissance,stressedSyl,3,"stressedSyl: British REN-uh-sance (1) vs French ren-ay-SANCE (3); British primary stress most common in UK schools; rareSpelling: French loanword, -ais- = /ay/ unusual"
renaissance,rareSpelling,false,"stressedSyl: British REN-uh-sance (1) vs French ren-ay-SANCE (3); British primary stress most common in UK schools; rareSpelling: French loanword, -ais- = /ay/ unusual"
formidable,stressedSyl,1,stressedSyl: traditional FOR-mi-da-ble (1) vs increasingly common for-MID-a-ble (2); default 1 for primary level
timbre,rareSpelling,false,rareSpelling: French loanword; -mbre = /m-ber/ but -bre is silent in French origin; borderline — TAM-ber is the common pronunciation
cuisine,rareSpelling,false,rareSpelling: French loanword; ui = /wee/ is unusual in English; kwi-ZEEN pronunciation has no English rule
oesophagus,rareSpelling,false,rareSpelling: oe- = /ee/ at start (Greek); British spelling differs from American esophagus; oe = /ee/ is unusual
ricochet,rareSpelling,false,rareSpelling: French loanword; -chet = /shay/; the t is silent; no English rule for this
hyperbole,rareSpelling,false,rareSpelling: final -e is pronounced /ee/ — hy-PER-bo-lee; same pattern as simile; unusual in English
reservoir,rareSpelling,false,rareSpelling: French -voir = /vwar/; British pronunciation RES-er-vwar has no English rule for the final syllable
apartheid,rareSpelling,false,rareSpelling: Afrikaans loanword; -heid = /hait/; no English rule for this pronunciation
nonchalant,rareSpelling,false,rareSpelling: French loanword; -ant = /ont/ and ch = /sh/; non-sha-LONT has no English rule
fjord,rareSpelling,false,rareSpelling: Norwegian loanword; fj = /fy/ is genuinely irregular in English; no rule
geyser,rareSpelling,false,rareSpelling: gey- = /GUY/; the ey = /ie/ pattern is unusual; confident false but worth noting
bureaucracy,rareSpelling,false,rareSpelling: bureau- = /byoor-oh/; eau = /oh/ is a French pattern; borderline at primary level
draught,rareSpelling,false,rareSpelling: draught = /draft/; augh = /ar/ is unusual — most augh = /aw/; worth flagging
fungi,rareSpelling,false,rareSpelling: -gi = /jie/ or /gee/ — both pronunciations used; FUN-jie is standard in British schools but FUN-gee also heard
applicable,stressedSyl,1,stressedSyl: AP-plic-able (1) vs ap-PLIC-able (2); default 1
despicable,stressedSyl,2,stressedSyl: des-PIC-able (2) increasingly common; default 2
transport,stressedSyl,1,"stressedSyl: noun TRANS-port (1), verb trans-PORT (2); noun default"
transfer,stressedSyl,1,"stressedSyl: noun TRANS-fer (1), verb trans-FER (2); noun default"
ballet,rareSpelling,false,rareSpelling: French -et=/ay/; silent t
bouquet,rareSpelling,false,rareSpelling: French -et=/ay/; boo-KAY
crochet,rareSpelling,false,rareSpelling: French -et=/ay/; croh-SHAY
debris,rareSpelling,false,rareSpelling: French; final -s silent; deh-BREE
forfeit,rareSpelling,false,rareSpelling: -feit=/fit/; silent e
counterfeit,rareSpelling,false,rareSpelling: -feit=/fit/; same pattern as forfeit
beige,rareSpelling,false,rareSpelling: French -eige=/ayzh/; no English rule
rapport,rareSpelling,false,rareSpelling: French; final -t silent; ra-POR
fiancee,rareSpelling,false,rareSpelling: French; accent mark unusual in English; fee-on-SAY
brochure,rareSpelling,false,rareSpelling: ch=/sh/ French; broh-SHOOR has no English rule
buffet,rareSpelling,false,rareSpelling: French -et=/ay/; silent t; boo-FAY
fiancé,rareSpelling,false,rareSpelling: French; accent mark unusual in English; fee-on-SAY
niche,rareSpelling,false,rareSpelling: ch=/sh/ French; neesh vs nitch both common
silhouette,rareSpelling,false,rareSpelling: French; -ouette=/et/; sil-oo-ET several irregular patterns
